iter	Passed	Remaining
850	9103	1593
851	9114	1583
852	9123	1572
853	9133	1561
854	9143	1550
855	9153	1539
856	9163	1529
857	9172	1518
858	9182	1507
859	9192	1496
860	9202	1485
861	9212	1474
862	9222	1464
863	9233	1453
864	9242	1442
865	9252	1431
866	9262	1420
867	9273	1410
868	9282	1399
869	9293	1388
870	9303	1377
871	9314	1367
872	9324	1356
873	9334	1345
874	9343	1334
875	9353	1324
876	9363	1313
877	9373	1302
878	9383	1291
879	9394	1281
880	9403	1270
881	9413	1259
882	9424	1248
883	9435	1238
884	9444	1227
885	9454	1216
886	9464	1205
887	9474	1194
888	9484	1184
889	9493	1173
890	9502	1162
891	9512	1151
892	9522	1141
893	9533	1130
894	9543	1119
895	9555	1109
896	9567	1098
897	9578	1088
898	9591	1077
899	9605	1067
900	9619	1056
901	9635	1046
902	9650	1036
903	9663	1026
904	9676	1015
905	9692	1005
906	9708	995
907	9719	984
908	9731	974
909	9743	963
910	9754	952
911	9765	942
912	9776	931
913	9787	920
914	9797	910
915	9808	899
916	9818	888
917	9829	877
918	9838	867
919	9849	856
920	9859	845
921	9869	834
922	9879	824
923	9889	813
924	9900	802
925	9911	792
926	9921	781
927	9931	770
928	9941	759
929	9951	749
930	9960	738
931	9970	727
932	9980	716
933	9990	705
934	10001	695
935	10011	684
936	10021	673
937	10030	663
938	10041	652
939	10055	641
940	10064	631
941	10073	620
942	10082	609
943	10091	598
944	10101	587
945	10110	577
946	10121	566
947	10131	555
948	10141	545
949	10151	534
950	10161	523
951	10170	512
952	10179	502
953	10189	491
954	10198	480
955	10208	469
956	10218	459
957	10227	448
958	10237	437
959	10246	426
960	10256	416
961	10266	405
962	10276	394
963	10292	384
964	10302	373
965	10309	362
966	10316	352
967	10323	341
968	10331	330
969	10339	319
970	10348	309
971	10357	298
972	10366	287
973	10378	277
974	10389	266
975	10399	255
976	10409	245
977	10419	234
978	10429	223
979	10438	213
980	10448	202
981	10458	191
982	10467	181
983	10477	170
984	10487	159
985	10498	149
986	10508	138
987	10518	127
988	10527	117
989	10537	106
990	10546	95
991	10555	85
992	10565	74
993	10574	63
994	10584	53
995	10593	42
996	10603	31
997	10612	21
998	10621	10
999	10631	0
